#{"t_start": 1629966016.6339629, "env_id": "ShipNav-v7"}
r,l,t
-6.641145,2878,628.736957
-6.732824,2949,1260.421537
0.862487,236,1282.477499
-6.091679,1600,1768.799598
-2.4919,3000,2388.958958
-2.505846,3000,3021.145781
-5.380786,595,3249.346089
-2.568905,3000,3842.079509
-5.873801,1623,4244.608782
-5.952922,1419,4550.373386
-5.299099,360,4608.118098
-6.14505,2235,5131.109619
-2.560827,3000,5887.984976
0.801517,390,6039.591716
-2.517575,3000,6741.975688
-2.396608,3000,7464.644753
-2.605317,3000,8231.580355
-2.608675,3000,8921.687541
-2.501733,3000,9902.677599
-2.451167,3000,10549.487414
-2.400917,3000,11277.411875
-2.335708,3000,12241.735631
-2.389816,3000,12922.461683
-2.609642,3000,13847.270937
-2.63525,3000,14518.186889
-2.486771,3000,15281.63398
-2.526087,3000,16176.275597
-2.238342,3000,17028.197714
-5.291492,483,17338.216974
-2.353575,3000,18074.578997
-2.146717,3000,18806.503758
-2.4628,3000,19658.106756
-2.296967,3000,20336.053786
-2.329768,3000,21266.2289
-2.371525,3000,22019.980484
-2.176425,3000,22695.588105
-2.424858,3000,23587.44581
-2.179092,3000,24348.211442
-2.299,3000,25236.377333
-2.178142,3000,25979.755865
0.903625,258,26010.88879
-2.252175,3000,26849.288525
-5.399388,430,26893.226988
-2.213733,3000,27586.858346
-5.314071,491,27894.434493
0.878575,278,27928.618218
-2.178133,3000,28652.78234
0.208408,1741,29159.104591
-5.540443,907,29282.703162
-2.119467,3000,30120.282661
-2.205092,3000,30899.458399
-5.126592,202,30924.126514
-2.253346,3000,31863.28311
-2.162325,3000,32704.920918
-5.211983,455,32952.307266
-5.215327,296,32996.159495
-2.158408,3000,33692.591733
-5.261508,536,33968.028475
-5.233226,366,34013.516622
-2.160458,3000,34852.696788
-5.35515,590,35102.730939
-6.177603,2036,35570.88506
0.872592,351,35786.672621
0.625425,1036,35911.599164
-5.222142,423,36147.152925
0.507045,865,36436.248421
-2.262884,3000,37216.929397
-2.22515,3000,37946.91482
-2.054758,3000,38842.570318
-2.10865,3000,39549.094532
-2.119183,3000,40508.317941
-2.365487,3000,41322.738595
-2.119692,3000,41984.336196
-2.098983,3000,42869.426168
-5.246567,487,42939.925399
-2.103258,3000,43735.113852
-2.2189,3000,44444.174748
-2.261203,3000,45183.971488
-5.18017,249,45247.930877
-2.202783,3000,46005.985819
-2.604055,3000,46740.303691
-2.358567,3000,47588.590969
-2.161642,3000,48301.450877
-2.207183,3000,49151.535647
-2.1365,3000,49917.105609
-5.18803,327,49961.972415
0.7167,753,50261.476494
-5.174701,313,50301.98796
-2.053983,3000,51048.81121
-2.499223,3000,51998.214932
-2.06205,3000,52631.057416
-2.200996,3000,53513.365957
0.151442,2279,54014.458635
-2.1637,3000,54843.921683
-2.257007,3000,55588.665042
-2.148692,3000,56592.602424
0.518867,1228,56891.646927
-2.092458,3000,57612.566434
-5.225943,343,57652.955913
-5.364151,573,57882.086711
-2.093492,3000,58563.817629
-5.415618,546,58830.152033
-2.415492,3000,59615.43934
-2.191425,3000,60238.895059
0.867492,359,60491.67602
-5.762975,1069,60818.604111
-2.1406,3000,61557.45008
-2.144247,3000,62185.775103
-2.10875,3000,62928.639562
-2.19895,3000,63596.140974
-2.079883,3000,64467.573001
-2.546072,3000,65283.410454
-2.141067,3000,66026.68993
-2.0721,3000,66860.100945
-2.053883,3000,67510.111106
-2.101575,3000,68378.578507
-2.133758,3000,69153.389884
-2.236738,3000,69923.444667
0.924217,191,69949.285484
-2.212975,3000,70715.686075
0.877875,313,70748.320224
-2.374343,3000,71703.661002
-2.183225,3000,72400.137406
-2.435245,3000,73152.412559
-2.173108,3000,74015.658615
-5.660933,1589,74446.052152
-2.443175,3000,75108.957263
-2.302292,3000,76053.016109
-5.337125,494,76107.085324
0.068496,2094,76742.062025
-5.3932,691,76841.603519
-2.178275,3000,77726.87068
-5.52711,805,77818.73927
-5.317473,642,78084.616075
-2.475139,3000,78760.693633
0.064021,2075,79361.787329
-0.197782,1813,79903.502836
-5.679042,1452,80209.054662
-2.065567,3000,80912.561405
-5.2347,446,80964.314127
-5.111822,169,81107.991758
-0.020092,1693,81484.643288
-6.275066,2143,82072.341148
0.635413,865,82182.807568
-5.503872,781,82390.09877
0.022524,2000,82967.167894
-0.315308,2921,83656.77289
0.71215,700,83747.914193
-5.334239,530,83949.925849
0.371225,1709,84237.755153
-6.080227,1880,84647.4202
0.578258,833,84757.268821
0.186083,2027,85266.572165
0.684508,855,85485.738856
-5.726521,1015,85666.84123
0.678433,756,85766.305757
0.833358,370,85803.975442
-5.753143,1108,86005.715415
0.544403,629,86191.272925
0.821467,416,86233.412395
-5.565833,1272,86469.135396
-5.201459,428,86593.558477
-5.776266,1167,86730.577868
0.841417,309,86824.289749
0.478608,1217,87054.250557
0.304727,1266,87305.679715
-5.236133,439,87352.789568
0.673781,390,87399.479827
0.9103,218,87496.044661
0.42165,1298,87744.151976
-0.171681,1849,88022.721639
0.632447,542,88082.103036
0.607275,1010,88245.613319
-5.160975,281,88293.695395
-5.201374,280,88363.568908
0.440279,915,88462.814824
0.783883,543,88565.377602
-5.269637,335,88617.118006
0.712533,654,88762.672953
0.075383,2255,89081.890754
-5.250346,361,89193.721849
0.63742,607,89274.100532
0.763449,302,89328.442136
0.777108,553,89464.095422
0.461652,743,89660.361457
0.811783,424,89715.515586
-5.876743,1512,89983.135478
0.909583,234,90015.429194
0.661625,601,90162.173961
0.284033,1383,90389.633285
0.536994,830,90571.129711
0.786942,358,90614.444752
0.55412,1034,90774.17149
-5.558237,763,90891.414194
0.525835,1044,91086.993685
0.792625,404,91137.815254
-5.734538,739,91281.510418
-5.810767,1194,91531.162885
0.832492,375,91588.764299
0.471435,685,91712.801828
0.61545,796,91814.216096
0.459508,940,91973.858024
0.373517,985,92157.173599
0.406826,890,92353.612787
0.413215,1057,92533.05304
0.521847,901,92667.856429
0.360417,1180,92852.321605
0.856333,327,92890.245139
-5.160377,194,93004.132533
0.732392,517,93077.244739
0.6941,498,93132.607179
-5.147542,233,93198.267518
-5.236777,361,93246.60798
0.747779,398,93290.858209
-5.288658,582,93421.978002
0.62445,690,93517.811102
-5.155558,248,93542.715973
-5.108912,151,93606.14192
-5.202543,309,93640.123851
0.49095,1088,93816.681725
-5.747857,924,93933.352139
-5.171317,279,94045.424026
0.433023,1033,94148.360638
-5.477012,737,94307.579771
0.772142,503,94378.045852
-5.282537,571,94500.770982
-5.183307,284,94533.757355
0.73068,490,94645.099399
-5.349907,550,94720.564795
-5.371561,684,94886.146984
0.870233,250,94920.044195
0.771275,451,94978.568903
0.586517,1103,95195.74544
0.342924,1023,95370.080045
0.605106,730,95488.741237
-5.444885,906,95621.92227
0.633458,724,95767.415704
0.820233,355,95826.213418
0.8411,261,95860.785921
0.545826,713,95987.913352
0.739333,342,96029.486513
0.744625,397,96085.306654
0.755942,411,96187.073555
0.726492,584,96265.245584
0.355518,1099,96466.170421
0.498234,1030,96671.709367
0.545409,710,96752.34848
0.500048,998,96926.496169
0.563638,784,97060.192071
0.744417,642,97128.80673
-5.153349,203,97165.570451
0.814333,350,97261.761327
0.863779,175,97287.745919
0.8342,302,97329.96278
0.395309,875,97481.039147
0.484378,882,97645.199694
0.826733,434,97696.446227
0.674478,547,97752.895965
0.515138,715,97901.783262
0.665688,558,97964.243515
0.621358,898,98136.400215
0.497032,949,98315.973597
0.85315,394,98358.759735
0.911975,223,98381.953268
0.57115,859,98521.670333
0.560797,535,98582.238693
-5.737512,912,98735.392789
0.825533,432,98846.27026
0.000508,1547,99097.462604
0.357892,1228,99296.052267
0.851458,314,99340.496213
0.61055,782,99481.056381
0.516521,691,99574.042109
0.555289,660,99683.153497
0.591067,871,99778.256952
0.644083,661,99915.294758
0.810458,418,99967.896274
0.77,502,100077.996735
0.787013,375,100120.051636
-5.399679,529,100201.038362
0.196476,1170,100396.364728
0.719008,526,100504.848329
0.500417,783,100590.273694
0.8697,243,100646.174588
0.482348,1054,100783.051434
-5.108951,158,100839.620011
-5.736524,1349,101038.83186
0.754392,571,101125.634125
0.670898,729,101249.562519
0.7421,680,101323.024293
0.425685,756,101467.240127
-5.165267,297,101496.806337
0.736092,688,101643.661228
-5.107117,151,101663.036279
0.720467,409,101712.970133
0.553458,1138,101888.374501
0.521535,910,102056.077197
0.598333,668,102149.973046
-5.442349,692,102265.215882
0.788264,341,102306.427398
0.897808,245,102335.933566
0.598257,740,102477.942194
0.534608,1107,102646.605803
0.452678,1014,102854.950631
0.833744,258,102888.395602
0.680467,635,102965.020699
0.837567,449,103081.310806
0.751342,461,103158.226061
0.8054,417,103201.322513
0.666011,417,103295.739588
0.673267,689,103377.231486
-5.439115,656,103524.614919
0.900475,214,103552.574077
-5.193252,380,103605.623627
0.505913,621,103737.957519
0.807917,525,103800.980162
0.93445,153,103834.575756
-5.644028,1217,104018.021641
0.88925,281,104049.529668
0.819042,394,104144.845592
0.853733,315,104193.251899
-5.173955,261,104223.560115
0.596492,847,104372.154757
0.843775,399,104416.845952
0.375707,1271,104598.661884
0.87675,242,104629.393633
0.746942,620,104756.337025
0.556908,675,104843.633829
-5.111354,117,104895.552076
0.053593,1299,105082.870562
0.689225,748,105176.313836
0.683258,528,105279.336563
0.71998,443,105334.349774
0.637752,664,105429.010348
0.461551,876,105569.587516
0.614328,590,105687.153432
0.884775,225,105713.76624
0.778192,536,105790.849249
0.569333,955,105964.677047
0.815134,328,106006.282363
-5.319462,335,106103.755002
0.183424,1311,106336.760051
0.642497,677,106405.33253
-5.238975,448,106492.18077
0.348275,1043,106604.571474
0.682354,495,106731.344312
-5.30203,497,106814.896711
-5.455689,938,106985.25838
0.302125,1942,107316.585907
0.851883,402,107411.033698
0.758683,553,107492.358923
0.399363,1183,107659.375105
0.31318,1281,107875.608873
0.8389,346,107919.600402
-5.224225,407,108041.694438
0.435755,978,108253.607528
0.875559,190,108282.402494
0.879208,309,108321.511739
0.733608,560,108390.110793
0.837758,402,108503.843885
0.824288,254,108534.848927
0.157376,1251,108747.271181
0.793545,313,108789.432505
0.58445,928,108963.223213
0.015806,1557,109194.003824
0.747092,542,109315.556932
-5.65729,1090,109444.412956
0.923175,193,109502.163043
0.661892,792,109597.235923
-5.141225,225,109624.113195
-5.226546,330,109710.26161
-5.348933,598,109784.387413
-5.256351,479,109866.891079
0.713148,578,109943.853094
0.866483,250,109969.441476
-5.522595,914,110113.127434
-5.318599,471,110182.543089
0.726725,609,110308.868023
0.636508,601,110374.19524
0.573749,761,110512.273643
0.596977,793,110663.923767
0.344052,806,110752.240245
0.493028,869,110936.561771
0.094146,1472,111189.961972
0.415442,898,111369.862576
